amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,American Endowment Foundation,"Hudson, OH United States",Media Matters for American,"WASHINGTON, DC United States",Programs,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Bright Funds Foundation,"San Jose, CA United States",Organized Crime and Corruption Reporting Project (OCCRP),"Washington, DC United States",General purpose,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Program support,TRANSACTION TYPE: Cash grants,"Community Foundation of Sarasota County, Inc.","Sarasota, FL United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States","General support, program support",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Community Foundation Sonoma County,"Santa Rosa, CA United States",Mendocino County Public Broadcasting,"Philo, CA United States",For general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The American Independent Foundation,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Harnisch Family Foundation Inc,"New York City, NY United States",International Documentary Association,"Los Angeles, CA United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Adults; Teachers; Students; Preteens,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Hsu Hwa Chao Foundation,"Pennington, NJ United States",The News Literacy Project,"Bethesda, MD United States",Unrestricted general,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Hyman Levine Family Foundation L'dor V'dor,"Beverly Hills, CA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",Charity/education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Artists and performers,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,ImpactAssets,"Bethesda, MD United States",Type Media Center,"New York City, NY United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Jewish Federation of Omaha Foundation,"Omaha, NE United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Julius & Katheryn Hommer Foundation,"Las Vegas, NV United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",General operating,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Max and Helen Guernsey Charitable Foundation,"Cedar Falls, IA United States","La Porte City, Iowa","La Porte City, IA United States",Microfilm/digxtation of newspaper,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Mcgrath Family Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",PUBLIC RADIO,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Minneapolis Foundation,"Minneapolis, MN United States",MinnPost,"Minneapolis, MN United States",For general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,GRANT TITLE: A Raisin in the Sun,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Paul M Angell Family Foundation,"Chicago, IL United States",Invictus Theatre,"Chicago, IL United States","This is a revision of our previous LOI at the suggestion of Mike Angell and Audra Yokley from the Angell Family Foundation. We have revised our request to funding for our 2020 production of Lorraine Hansberry's A Raisin in the Sun. A Raisin in the Sun tells the story of an African-american family living in Chicago's Southside dealing with issues of identity, white-flight, and racism. Set in late 1950'S Chicago, we aim to bring this world to life through period-specific props, costumes, and furniture pieces. As gentrification continues to occur in Chicago and minorities find less opportunities to express their voices, this timely story illuminates the disparities of the American Dream. The show will run from 2/13/20-3/15/20 for 20 performances and 4 preview performances. The revised budget for this production is $18,300. This production will take place at The Buena theater at the Pride Arts Center. While all of our programming is important, including our Shakespeare in the Courts outreach program, we find it hardest to find support for our main stage productions such as A Raisin in the Sun. These productions allow us to actively connect with our Chicago communities through relevant and moving stories such as A Raisin in the Sun. While this grant from you would cover a large portion of our budget, your support would also bring credibility to our organization as we seek to introduce our work to additional stakeholders throughout the city of Chicago, with a long term goal of diversifying our funding sources. This grant will also provide the Angell Foundation a chance to work with a small, but professional, young theater company and see our process first hand before making further funding commitments. Regarding our organizational infrastructure. I have included a description of our company members and roles along with our board list to give a more complete picture of company operations. Thank you for your time and consideration.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Homeless people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Pine Haven Foundation Trust Attn Kevin Crumbo,"Nashville, TN United States",The Contributor Inc,"Nashville, TN United States",For use in the organization's exempt function,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support; Advocacy,TRANSACTION TYPE: Cash grants,Seattle Foundation,"Seattle, WA United States",Making Contact / International Media Project,"Oakland, CA United States",to provide general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Siemer Family Foundation,"Columbus, OH United States",Wosu Public Media,"Columbus, OH United States",Arts and humanities,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Connecticut Community Foundation,"Waterbury, CT United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",NOT FOR PROFIT CT NEWSPAPER,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Fonda Family Foundation Inc,"Atlanta, GA United States",Vermont Independent Media Inc,"Brattleboro, VT United States",FURTHER ORGANIZATION'S EXEMPT PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Jesse H and Susan R Oppenheimer Foundation,"San Antonio, TX United States","National Public Radio, Inc.","Washington, DC United States",Operating fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Jesse H and Susan R Oppenheimer Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",Operating fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Patton Foundation,"Hastings, MN United States",The Charlemagne Institute,"Bloomington, MN United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Selig Foundation Inc,"Atlanta, GA United States","JTA, Inc.","New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Woods and Gil Family Foundation,"Chicago, IL United States","Committee to Protect Journalists, Inc.","New York City, NY United States",General Operating Support for the Organization,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,990",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Continuing support; General support,TRANSACTION TYPE: Cash grants,Tiaa Charitable Inc,"Charlotte, NC United States","PRO Publica, Inc.","New York City, NY United States",Annual support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
